home,away,home shots,away shots,home goals,away goals
COL,CBJ,29,27,3,4
ANA,NSH,33,30,4,3
EDM,NYI,23,33,5,2
WPG,SJS,19,37,2,3
NJD,BUF,28,21,4,1
PHI,OTT,34,42,2,1
MTL,TBL,22,36,2,4
NSH,CAR,26,25,3,2
MIN,SJS,31,26,3,4
CHI,COL,54,24,0,2
DAL,CBJ,26,20,2,4
ARI,STL,23,39,0,6
EDM,DET,23,41,2,4
VAN,NYI,20,23,3,2
TOR,WSH,33,26,2,6
PIT,BOS,39,24,2,3
CGY,DET,30,22,2,3
ANA,NYR,25,30,1,4
BOS,NJD,43,14,3,0
PHI,WSH,33,28,3,2
CAR,BUF,31,20,5,2
STL,SJS,28,26,7,2
NSH,DAL,24,20,3,2
MIN,CHI,44,20,2,4
COL,OTT,21,38,5,2
ARI,WPG,30,35,4,1
VAN,FLA,33,31,1,3
LAK,NYR,31,26,3,4
NJD,NYI,23,31,2,3
TOR,CBJ,32,20,5,2
TBL,BUF,47,21,2,1
CGY,FLA,30,35,5,6
EDM,CHI,22,21,5,2
PHI,BOS,25,18,1,3
MIN,NSH,37,27,1,3
COL,DAL,30,40,4,3
MTL,PIT,28,37,1,2
WSH,DET,17,27,3,1
CBJ,NYI,18,40,2,5
ARI,OTT,32,33,1,5
STL,CAR,35,30,5,4
VAN,CGY,36,23,0,1
LAK,WPG,29,25,4,5
SJS,NYR,31,32,1,3
EDM,FLA,33,27,2,4
CHI,MIN,35,37,4,1
ANA,WPG,43,32,5,4
PHI,TBL,25,24,7,3
WSH,COL,38,32,2,1
LAK,TOR,20,19,2,0
BOS,TBL,34,19,4,3
BUF,DET,26,30,1,3
NYR,NYI,27,44,0,3
PIT,MIN,37,32,7,2
CAR,COL,46,30,3,2
STL,EDM,29,15,4,2
NSH,VAN,30,31,5,1
WPG,FLA,35,27,8,2
DAL,OTT,29,41,5,4
ARI,SJS,29,25,2,3
CBJ,MTL,16,31,2,3
WSH,PHI,26,21,1,0
ANA,TOR,25,28,4,0
LAK,NJD,26,20,3,5
BOS,NYR,32,30,3,0
BUF,MIN,18,37,0,7
PHI,VAN,30,22,0,4
OTT,MTL,35,26,4,1
TBL,EDM,19,32,3,2
FLA,COL,32,29,2,4
STL,DET,27,24,2,3
DAL,WPG,47,22,1,2
ARI,CGY,28,25,1,4
SJS,TOR,42,25,3,1
NYI,PIT,35,24,6,3
CAR,VAN,28,17,0,3
CBJ,NYR,36,26,1,2
NSH,WSH,30,34,4,3
CHI,WPG,33,35,2,4
ANA,NJD,40,15,5,1
BOS,CBJ,35,31,1,3
BUF,PHI,27,32,3,4
MTL,NYI,35,31,6,4
OTT,CAR,32,28,2,3
DET,NSH,24,36,5,2
